epoch:=209 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=210 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=211 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=212 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=213 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=214 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=215 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=216 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=217 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=218 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=219 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=220 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=221 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=222 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=223 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=224 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=225 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=226 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=227 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=228 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=229 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=230 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=231 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=232 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=233 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=234 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=235 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=236 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=237 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=238 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=239 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=240 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=241 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=242 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=243 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=244 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=245 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=246 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=247 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=248 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=249 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=250 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=251 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=252 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=253 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=254 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=255 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=256 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=257 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=258 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=259 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=260 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=261 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=262 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=263 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=264 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=265 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=266 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=267 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=268 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=269 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=270 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=271 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=272 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=273 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=274 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=275 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=276 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=277 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=278 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=279 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=280 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=281 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=282 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=283 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=284 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=285 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=286 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=287 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=288 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=289 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=290 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=291 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=292 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=293 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=294 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=295 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=296 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=297 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=298 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=299 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=300 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=301 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=302 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=303 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=304 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=305 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=306 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=307 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=308 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=309 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=310 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=311 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=312 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=313 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=314 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=315 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=316 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=317 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=318 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=319 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=320 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=321 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=322 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=323 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=324 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=325 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=326 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=327 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=328 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=329 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=330 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=331 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=332 ,train_acc:=0.000000 ,test_acc:=0.000000
